publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,command_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
2630000000,2640000000,55.34487255048728,-2.753770576347332,27.753770576347332,70.68265298771335,126.0,25.0,-0.24900485984213683,55.372422135564065,-2.7561464390084396,27.75614643900844,-0.24335125684821124
2640000000,2650000000,55.317347012286646,-2.7513370637788483,27.75133706377885,70.96015390810815,126.25,25.0,-0.2545488515285985,55.34487255048728,-2.753770576347332,27.753770576347332,-0.24900485984213683
2650000000,2660000000,55.289846091891846,-2.748847015180427,27.748847015180427,71.23762965081738,126.5,25.0,-0.2599849807181873,55.317347012286646,-2.7513370637788483,27.75133706377885,-0.2545488515285985
2660000000,2670000000,55.26237034918262,-2.7463015266651425,27.746301526665142,71.51507966683499,126.75,25.0,-0.26531496902409035,55.289846091891846,-2.748847015180427,27.748847015180427,-0.2599849807181873
2670000000,2680000000,55.23492033316501,-2.7437016768579596,27.74370167685796,71.79250341785512,127.0,25.0,-0.27054051128345336,55.26237034918262,-2.7463015266651425,27.746301526665142,-0.26531496902409035
2680000000,2690000000,55.207496582144884,-2.7410485271677203,27.74104852716772,72.06990037610123,127.25,25.0,-0.2756632759722266,55.23492033316501,-2.7437016768579596,27.74370167685796,-0.27054051128345336
2690000000,2700000000,55.18009962389877,-2.7383431220548857,27.738343122054886,72.34727002415798,127.5,25.0,-0.28068490561360804,55.207496582144884,-2.7410485271677203,27.74104852716772,-0.2756632759722266
2700000000,2710000000,55.15272997584202,-2.7355864892951622,27.735586489295162,72.62461185480565,127.75,25.0,-0.2856070171801086,55.18009962389877,-2.7383431220548857,27.738343122054886,-0.28068490561360804
2710000000,2720000000,55.12538814519435,-2.732779640239027,27.732779640239027,72.90192537085719,128.0,25.0,-0.29043120248944776,55.15272997584202,-2.7355864892951622,27.735586489295162,-0.2856070171801086
2720000000,2730000000,55.098074629142815,-2.729923570067225,27.729923570067225,73.17921008499773,128.25,25.0,-0.29515902859429843,55.12538814519435,-2.732779640239027,27.732779640239027,-0.29043120248944776
2730000000,2740000000,55.070789915002266,-2.727019258042329,27.72701925804233,73.45646551962672,128.5,25.0,-0.29979203816597755,55.098074629142815,-2.729923570067225,27.729923570067225,-0.29515902859429843
2740000000,2750000000,55.04353448037328,-2.724067667756387,27.724067667756387,73.73369120670237,128.75,25.0,-0.3043317498722242,55.070789915002266,-2.727019258042329,27.72701925804233,-0.29979203816597755
